Criptomoneda,Fecha,Open,High,Low,Close
internet-computer,2023-05-10 19:00:00,5.573155,5.573155,5.283569,5.303774
internet-computer,2023-05-14 19:00:00,5.008617,5.227026,5.008617,5.183953
internet-computer,2023-05-18 19:00:00,5.253297,5.371385,5.229178,5.274017
internet-computer,2023-05-22 19:00:00,5.309772,5.309772,5.059232,5.076014
internet-computer,2023-05-26 19:00:00,5.041845,5.041845,4.819364,4.829836
internet-computer,2023-05-30 19:00:00,4.911422,4.997774,4.833526,4.833526
internet-computer,2023-06-02 19:00:00,4.686539,4.810321,4.670737,4.810321
internet-computer,2023-06-06 19:00:00,4.797121,4.804083,4.34418,4.425162
internet-computer,2023-06-10 19:00:00,4.195424,4.263958,3.704793,3.704793
internet-computer,2023-06-14 19:00:00,3.652788,3.960513,3.652788,3.795255
internet-computer,2023-06-18 19:00:00,3.95433,3.9932,3.95378,3.95378
internet-computer,2023-06-22 19:00:00,3.944645,4.206598,3.944645,4.137519
internet-computer,2023-06-26 19:00:00,4.323486,4.326928,4.254497,4.254497
internet-computer,2023-06-29 19:00:00,4.331465,4.331465,4.042698,4.046083
internet-computer,2023-07-02 19:00:00,4.092539,4.215043,4.092539,4.194095
internet-computer,2023-07-06 19:00:00,4.461639,4.461639,4.073941,4.073941
internet-computer,2023-07-10 19:00:00,4.100937,4.100937,4.034175,4.076223
internet-computer,2023-07-14 19:00:00,4.117564,4.377277,4.117564,4.250563
internet-computer,2023-07-18 19:00:00,4.205153,4.205153,4.072454,4.072454
internet-computer,2023-07-22 19:00:00,4.064174,4.108112,4.040473,4.108112
internet-computer,2023-07-26 19:00:00,4.211013,4.211013,4.01168,4.085505
internet-computer,2023-07-30 19:00:00,4.219693,4.3319,4.219693,4.273785
internet-computer,2023-08-02 19:00:00,4.206988,4.234722,4.136321,4.136321
internet-computer,2023-08-06 19:00:00,4.035204,4.116684,4.015372,4.116684
internet-computer,2023-08-10 19:00:00,4.093677,4.106879,4.023283,4.023283
internet-computer,2023-08-14 19:00:00,4.028647,4.050306,4.028647,4.050306
internet-computer,2023-08-18 19:00:00,3.826703,3.826703,3.396557,3.505037
internet-computer,2023-08-22 19:00:00,3.557606,3.581608,3.427437,3.427437
the-sandbox,2023-02-26 19:00:00,0.723714,0.723714,0.708448,0.719401
the-sandbox,2023-02-27 19:00:00,0.713578,0.713578,0.686378,0.690777
the-sandbox,2023-03-06 19:00:00,0.643971,0.643971,0.615629,0.63302
the-sandbox,2023-03-10 19:00:00,0.61181,0.61181,0.535997,0.535997
the-sandbox,2023-03-14 19:00:00,0.529365,0.646764,0.529365,0.646764
the-sandbox,2023-03-18 19:00:00,0.590686,0.682617,0.590686,0.674423
the-sandbox,2023-03-22 19:00:00,0.691766,0.691766,0.639766,0.639766
the-sandbox,2023-03-26 19:00:00,0.668134,0.668134,0.626992,0.635669
the-sandbox,2023-03-30 19:00:00,0.59608,0.641325,0.59608,0.62219
the-sandbox,2023-04-02 19:00:00,0.629689,0.637331,0.618674,0.618674
the-sandbox,2023-04-06 19:00:00,0.623219,0.657452,0.623219,0.639104
the-sandbox,2023-04-10 19:00:00,0.656516,0.656516,0.637881,0.652527
the-sandbox,2023-04-14 19:00:00,0.6506,0.689219,0.6506,0.689219
the-sandbox,2023-04-18 19:00:00,0.685883,0.701105,0.685883,0.701105
the-sandbox,2023-04-22 19:00:00,0.636542,0.636542,0.589282,0.60302
the-sandbox,2023-04-26 19:00:00,0.58842,0.598007,0.574488,0.574488
the-sandbox,2023-04-29 19:00:00,0.588724,0.590847,0.586927,0.590847
the-sandbox,2023-05-02 19:00:00,0.58111,0.58111,0.560751,0.569795
the-sandbox,2023-05-06 19:00:00,0.581155,0.581155,0.551777,0.551777
the-sandbox,2023-05-10 19:00:00,0.546045,0.546045,0.508398,0.51857
the-sandbox,2023-05-14 19:00:00,0.497805,0.508929,0.497805,0.505074
the-sandbox,2023-05-18 19:00:00,0.504598,0.532723,0.504598,0.532723
the-sandbox,2023-05-22 19:00:00,0.534869,0.534869,0.512063,0.512063
the-sandbox,2023-05-26 19:00:00,0.512668,0.514745,0.497116,0.514745
the-sandbox,2023-05-30 19:00:00,0.527169,0.55724,0.527169,0.555173
the-sandbox,2023-06-02 19:00:00,0.533829,0.576256,0.533829,0.576256
the-sandbox,2023-06-06 19:00:00,0.573717,0.594607,0.526654,0.533192
the-sandbox,2023-06-10 19:00:00,0.492756,0.492756,0.387767,0.387767
the-sandbox,2023-06-14 19:00:00,0.386289,0.388688,0.372551,0.372551
the-sandbox,2023-06-18 19:00:00,0.377549,0.388659,0.377549,0.385289
the-sandbox,2023-06-22 19:00:00,0.387911,0.423498,0.387911,0.417847
the-sandbox,2023-06-26 19:00:00,0.435641,0.442636,0.424714,0.424714
the-sandbox,2023-06-29 19:00:00,0.427769,0.427769,0.397941,0.406573
the-sandbox,2023-07-02 19:00:00,0.418333,0.457186,0.418333,0.447903
the-sandbox,2023-07-06 19:00:00,0.448788,0.448788,0.412934,0.412934
the-sandbox,2023-07-10 19:00:00,0.418974,0.418974,0.411995,0.41657
the-sandbox,2023-07-14 19:00:00,0.424136,0.478485,0.42338,0.4502
the-sandbox,2023-07-18 19:00:00,0.452694,0.452694,0.441632,0.441881
the-sandbox,2023-07-22 19:00:00,0.441559,0.446897,0.43978,0.440413
the-sandbox,2023-07-26 19:00:00,0.457442,0.457442,0.428537,0.429642
the-sandbox,2023-07-30 19:00:00,0.42601,0.438802,0.42601,0.431008
the-sandbox,2023-08-02 19:00:00,0.423298,0.424079,0.412011,0.412011
the-sandbox,2023-08-06 19:00:00,0.404982,0.404982,0.398767,0.403797
the-sandbox,2023-08-10 19:00:00,0.404031,0.408842,0.401575,0.401575
the-sandbox,2023-08-14 19:00:00,0.400066,0.40174,0.392645,0.392645
the-sandbox,2023-08-18 19:00:00,0.371417,0.371417,0.326452,0.328016
the-sandbox,2023-08-22 19:00:00,0.336239,0.336239,0.324149,0.324149
immutable-x,2023-02-26 19:00:00,0.971298,0.981762,0.960636,0.981762
immutable-x,2023-02-27 19:00:00,0.96618,1.062502,0.96618,0.990014
immutable-x,2023-03-06 19:00:00,1.021615,1.052581,0.991514,1.052581
immutable-x,2023-03-10 19:00:00,1.085297,1.085297,0.844989,0.844989
immutable-x,2023-03-14 19:00:00,0.812671,1.180958,0.812671,1.180958
immutable-x,2023-03-18 19:00:00,1.171839,1.548866,1.171839,1.482536
immutable-x,2023-03-22 19:00:00,1.465262,1.465262,1.188882,1.188882
immutable-x,2023-03-26 19:00:00,1.217439,1.217439,1.054206,1.111582
immutable-x,2023-03-30 19:00:00,1.023711,1.125729,1.023711,1.118977
immutable-x,2023-04-02 19:00:00,1.137125,1.137125,1.055471,1.055471
immutable-x,2023-04-06 19:00:00,1.049094,1.107249,1.049094,1.059807
immutable-x,2023-04-10 19:00:00,1.029487,1.083365,1.029487,1.083365
immutable-x,2023-04-14 19:00:00,1.086234,1.219658,1.086234,1.219658
immutable-x,2023-04-18 19:00:00,1.205891,1.211486,1.130055,1.147408
immutable-x,2023-04-22 19:00:00,1.034888,1.034888,0.931266,0.987276
immutable-x,2023-04-26 19:00:00,0.952607,0.976786,0.952607,0.959723
immutable-x,2023-04-29 19:00:00,1.061635,1.061635,1.009987,1.009987
immutable-x,2023-05-02 19:00:00,0.992122,0.992122,0.933137,0.933137
immutable-x,2023-05-06 19:00:00,0.941232,0.941232,0.858476,0.858476
immutable-x,2023-05-10 19:00:00,0.860964,0.860964,0.76455,0.785556
immutable-x,2023-05-14 19:00:00,0.734157,0.757382,0.734157,0.750303
immutable-x,2023-05-18 19:00:00,0.762591,0.787723,0.740983,0.766731
immutable-x,2023-05-22 19:00:00,0.764771,0.764771,0.721029,0.728757
immutable-x,2023-05-26 19:00:00,0.771039,0.771039,0.72337,0.736499
immutable-x,2023-05-30 19:00:00,0.731068,0.776353,0.731068,0.776353
immutable-x,2023-06-02 19:00:00,0.729869,0.803506,0.729869,0.803506
immutable-x,2023-06-06 19:00:00,0.794756,0.816385,0.735012,0.750246
immutable-x,2023-06-10 19:00:00,0.681925,0.7245,0.609839,0.609839
immutable-x,2023-06-14 19:00:00,0.601471,0.621801,0.579104,0.579104
immutable-x,2023-06-18 19:00:00,0.61233,0.630788,0.61233,0.619928
immutable-x,2023-06-22 19:00:00,0.622729,0.697236,0.622729,0.697236
